FullLayerName,R,G,B
Dessin,0,0,0
Dessin::block,0,0,0
Dessin::traitCoupe,255,255,102
Dessin::texte,0,0,0
Dessin::cote,0,0,0
Dessin::personnage,204,204,204
Dessin::layout,253,184,255
Hachures,70,70,70
Hachures::hachBeton,70,70,70
Hachures::hachBois,70,70,70
Hachures::hachMetal,70,70,70
Hachures::hachIsolant,70,70,70
1-GO,0,0,0
1-GO::structMetal,255,0,0
1-GO::structBois,17,128,2
1-GO::structBeton,128,128,128
1-GO::maconnerie,160,128,90
1-GO::fondations,128,128,200
2-CC,0,0,0
2-CC::isolation,128,0,255
2-CC::couverture,0,92,242
2-CC::menuiserieExt,252,111,207
2-CC::vitrageExt,102,255,255
2-CC::bardage,16,128,128
3-SO,0,0,0
3-SO::cloison,128,255,8
3-SO::menuiserieInt,204,102,255
3-SO::escalier,64,128,2
3-SO::sanitaires,15,128,255
3-SO::mobilier,252,87,8
4-TECH,0,0,0
4-TECH::ascenseur,64,128,2
5-EXT,0,0,0
5-EXT::arbres,17,128,64
Make2D,0,0,0
Make2D::visible,0,0,0
Make2D::visible::curves,0,0,0
Make2D::visible::curves::1-GO,0,0,0
Make2D::visible::curves::1-GO::structMetal,255,0,0
Make2D::visible::curves::1-GO::structBois,17,128,2
Make2D::visible::curves::1-GO::structBeton,128,128,128
Make2D::visible::curves::1-GO::maconnerie,160,128,90
Make2D::visible::curves::1-GO::fondations,128,128,200
Make2D::visible::curves::2-CC,0,0,0
Make2D::visible::curves::2-CC::isolation,128,0,255
Make2D::visible::curves::2-CC::couverture,0,92,242
Make2D::visible::curves::2-CC::menuiserieExt,252,111,207
Make2D::visible::curves::2-CC::vitrageExt,102,255,255
Make2D::visible::curves::2-CC::bardage,16,128,128
Make2D::visible::curves::3-SO,0,0,0
Make2D::visible::curves::3-SO::cloison,128,255,8
Make2D::visible::curves::3-SO::menuiserieInt,204,102,255
Make2D::visible::curves::3-SO::escalier,64,128,2
Make2D::visible::curves::3-SO::sanitaires,15,128,255
Make2D::visible::curves::3-SO::mobilier,252,87,8
Make2D::visible::curves::4-TECH,0,0,0
Make2D::visible::curves::4-TECH::ascenseur,64,128,2
Make2D::visible::curves::5-EXT,0,0,0
Make2D::visible::curves::5-EXT::arbres,17,128,64
Make2D::visible::clippingplaneintersections,0,0,0
Make2D::visible::clippingplaneintersections::1-GO,0,0,0
Make2D::visible::clippingplaneintersections::1-GO::structMetal,255,0,0
Make2D::visible::clippingplaneintersections::1-GO::structBois,17,128,2
Make2D::visible::clippingplaneintersections::1-GO::structBeton,128,128,128
Make2D::visible::clippingplaneintersections::1-GO::maconnerie,160,128,90
Make2D::visible::clippingplaneintersections::1-GO::fondations,128,128,200
Make2D::visible::clippingplaneintersections::2-CC,0,0,0
Make2D::visible::clippingplaneintersections::2-CC::isolation,128,0,255
Make2D::visible::clippingplaneintersections::2-CC::couverture,0,92,242
Make2D::visible::clippingplaneintersections::2-CC::menuiserieExt,252,111,207
Make2D::visible::clippingplaneintersections::2-CC::vitrageExt,102,255,255
Make2D::visible::clippingplaneintersections::2-CC::bardage,16,128,128
Make2D::visible::clippingplaneintersections::3-SO,0,0,0
Make2D::visible::clippingplaneintersections::3-SO::cloison,128,255,8
Make2D::visible::clippingplaneintersections::3-SO::menuiserieInt,204,102,255
Make2D::visible::clippingplaneintersections::3-SO::escalier,64,128,2
Make2D::visible::clippingplaneintersections::3-SO::sanitaires,15,128,255
Make2D::visible::clippingplaneintersections::3-SO::mobilier,252,87,8
Make2D::visible::clippingplaneintersections::4-TECH,0,0,0
Make2D::visible::clippingplaneintersections::4-TECH::ascenseur,64,128,2
Make2D::visible::clippingplaneintersections::5-EXT,0,0,0
Make2D::visible::clippingplaneintersections::5-EXT::arbres,17,128,64
Make2D::hidden,0,0,0
Make2D::hidden::curves,0,0,0
Make2D::hidden::curves::1-GO,0,0,0
Make2D::hidden::curves::1-GO::structMetal,255,0,0
Make2D::hidden::curves::1-GO::structBois,17,128,2
Make2D::hidden::curves::1-GO::structBeton,128,128,128
Make2D::hidden::curves::1-GO::maconnerie,160,128,90
Make2D::hidden::curves::1-GO::fondations,128,128,200
Make2D::hidden::curves::2-CC,0,0,0
Make2D::hidden::curves::2-CC::isolation,128,0,255
Make2D::hidden::curves::2-CC::couverture,0,92,242
Make2D::hidden::curves::2-CC::menuiserieExt,252,111,207
Make2D::hidden::curves::2-CC::vitrageExt,102,255,255
Make2D::hidden::curves::2-CC::bardage,16,128,128
Make2D::hidden::curves::3-SO,0,0,0
Make2D::hidden::curves::3-SO::cloison,128,255,8
Make2D::hidden::curves::3-SO::menuiserieInt,204,102,255
Make2D::hidden::curves::3-SO::escalier,64,128,2
Make2D::hidden::curves::3-SO::sanitaires,15,128,255
Make2D::hidden::curves::3-SO::mobilier,252,87,8
Make2D::hidden::curves::4-TECH,0,0,0
Make2D::hidden::curves::4-TECH::ascenseur,64,128,2
Make2D::hidden::curves::5-EXT,0,0,0
Make2D::hidden::curves::5-EXT::arbres,17,128,64
Make2D::projected,0,0,0
Make2D::projected::curves,0,0,0
Make2D::projected::curves::1-GO,0,0,0
Make2D::projected::curves::structMetal,255,0,0
Make2D::projected::curves::structBois,17,128,2
Make2D::projected::curves::structBeton,128,128,128
Make2D::projected::curves::maconnerie,160,128,90
Make2D::projected::curves::fondations,128,128,200
Make2D::projected::curves::2-CC,0,0,0
Make2D::projected::curves::isolation,128,0,255
Make2D::projected::curves::couverture,0,92,242
Make2D::projected::curves::menuiserieExt,252,111,207
Make2D::projected::curves::vitrageExt,102,255,255
Make2D::projected::curves::bardage,16,128,128
Make2D::projected::curves::3-SO,0,0,0
Make2D::projected::curves::cloison,128,255,8
Make2D::projected::curves::menuiserieInt,204,102,255
Make2D::projected::curves::escalier,64,128,2
Make2D::projected::curves::sanitaires,15,128,255
Make2D::projected::curves::mobilier,252,87,8
Make2D::projected::curves::4-TECH,0,0,0
Make2D::projected::curves::ascenseur,64,128,2
Make2D::projected::curves::5-EXT,0,0,0
Make2D::projected::curves::5-EXT::arbres,17,128,64
